"MAE","sample_idx"
0.410733699798584,29
0.3602335453033447,53
0.30738234519958496,78
0.2881295680999756,81
0.26648783683776855,67
0.2661166191101074,73
0.2629561424255371,75
0.23920989036560059,22
0.23728561401367188,49
0.23559856414794922,55
0.23464703559875488,85
0.23355114459991455,20
0.22760510444641113,93
0.22653627395629883,48
0.21322894096374512,9
0.21001112461090088,7
0.20524382591247559,64
0.20346379280090332,18
0.20344698429107666,34
0.19941282272338867,30
0.19618165493011475,10
0.19613707065582275,88
0.19566786289215088,99
0.19245505332946777,2
0.19002103805541992,94
0.1893925666809082,83
0.18444454669952393,11
0.1822739839553833,84
0.18067216873168945,58
0.17939376831054688,25
0.17469537258148193,92
0.17431533336639404,79
0.1729600429534912,42
0.17230141162872314,89
0.17078077793121338,13
0.16796493530273438,23
0.1629244089126587,44
0.16282546520233154,95
0.15936410427093506,56
0.15879392623901367,96
0.15559589862823486,66
0.1552802324295044,4
0.15142178535461426,54
0.14865589141845703,68
0.14795982837677002,82
0.14360535144805908,98
0.14296281337738037,72
0.14132869243621826,60
0.14071416854858398,32
0.14059007167816162,43
0.14051318168640137,19
0.14026141166687012,26
0.13885343074798584,86
0.13818573951721191,38
0.13615632057189941,27
0.13280725479125977,16
0.1306973695755005,15
0.1253979206085205,28
0.12340652942657471,45
0.119545578956604,87
0.11866354942321777,0
0.11633181571960449,65
0.11408621072769165,46
0.11377406120300293,6
0.10784697532653809,8
0.10749787092208862,3
0.10650503635406494,5
0.10631951689720154,51
0.10451388359069824,24
0.09954309463500977,52
0.09887373447418213,63
0.09855866432189941,61
0.09820711612701416,74
0.09705746173858643,59
0.09520924091339111,77
0.09437060356140137,41
0.09300124645233154,90
0.0913311243057251,70
0.09073793888092041,12
0.08982241153717041,91
0.08909392356872559,39
0.08536660671234131,21
0.08374208211898804,33
0.08136534690856934,47
0.07779598236083984,97
0.07768338918685913,31
0.07752382755279541,37
0.07440394163131714,36
0.07404643297195435,1
0.07216215133666992,57
0.07098925113677979,35
0.06983059644699097,69
0.06857943534851074,80
0.06739586591720581,76
0.06732738018035889,14
0.06235980987548828,50
0.06198173761367798,62
0.057354509830474854,71
0.0536113977432251,17
0.04139387607574463,40
