"MAE","sample_idx"
0.0008118152618408203,38
0.0007952451705932617,73
0.0007864236831665039,39
0.0007575750350952148,17
0.0007302761077880859,86
0.000729680061340332,56
0.0006866455078125,30
0.0006476044654846191,1
0.0006449222564697266,4
0.0006113052368164062,99
0.0006086826324462891,67
0.0005956888198852539,22
0.0005499124526977539,44
0.0005384683609008789,47
0.0005130171775817871,14
0.0005116462707519531,88
0.0005090236663818359,36
0.0005036592483520508,42
0.0005035400390625,9
0.0004730224609375,77
0.0004534721374511719,33
0.0004324913024902344,83
0.000415802001953125,63
0.0004088878631591797,49
0.00040602684020996094,16
0.00040590763092041016,61
0.0003972053527832031,41
0.00039136409759521484,31
0.0003777742385864258,87
0.00036394596099853516,45
0.0003619194030761719,81
0.0003522634506225586,12
0.00035119056701660156,78
0.0003306269645690918,69
0.0003160238265991211,27
0.00031304359436035156,98
0.0003110170364379883,90
0.0003101825714111328,79
0.00031006336212158203,10
0.00031006336212158203,58
0.00029838085174560547,11
0.0002943277359008789,89
0.0002853870391845703,55
0.00028324127197265625,62
0.00028228759765625,52
0.000270843505859375,84
0.0002684593200683594,37
0.00026410818099975586,50
0.0002562999725341797,93
0.0002499818801879883,71
0.0002484321594238281,91
0.00024378299713134766,72
0.00024259090423583984,15
0.00024247169494628906,29
0.0002378225326538086,74
0.000232696533203125,7
0.0002307891845703125,28
0.00022351741790771484,35
0.00021719932556152344,43
0.00020885467529296875,80
0.00020450353622436523,40
0.00020432472229003906,21
0.00018292665481567383,3
0.0001806020736694336,24
0.00017908215522766113,51
0.0001633167266845703,26
0.00014865398406982422,18
0.00014781951904296875,59
0.00014495849609375,32
0.00013649463653564453,76
0.00013494491577148438,82
0.00012624263763427734,96
0.00010955333709716797,94
0.00010907649993896484,60
0.0001081228256225586,97
0.00010561943054199219,53
0.00010383129119873047,19
9.66787338256836e-05,54
9.393692016601562e-05,65
8.392333984375e-05,70
8.034706115722656e-05,34
7.712841033935547e-05,57
7.152557373046875e-05,20
7.009506225585938e-05,66
6.949901580810547e-05,0
6.556510925292969e-05,92
5.829334259033203e-05,46
5.4717063903808594e-05,64
5.3763389587402344e-05,25
5.1856040954589844e-05,23
5.1021575927734375e-05,85
4.38690185546875e-05,95
4.303455352783203e-05,68
4.112720489501953e-05,75
3.647804260253906e-05,13
2.8371810913085938e-05,2
1.6689300537109375e-05,5
1.4662742614746094e-05,6
1.049041748046875e-05,48
1.1920928955078125e-07,8
