"MAE","sample_idx"
196.00559997558594,29
166.71142578125,53
165.7225341796875,81
152.36306762695312,48
145.34335327148438,49
138.85556030273438,78
138.3473663330078,32
134.60232543945312,83
133.6448211669922,67
131.9377899169922,9
128.837646484375,85
83.26457214355469,55
83.01596069335938,65
82.94500732421875,30
82.76651763916016,4
82.34504699707031,66
82.00434875488281,13
81.47618103027344,89
81.36196899414062,0
81.18504333496094,93
79.48966979980469,7
79.13508605957031,38
79.10209655761719,19
78.83984375,56
78.19822692871094,72
77.9703140258789,64
76.94718933105469,10
76.74321746826172,18
75.77945709228516,58
75.70317077636719,2
75.66866302490234,95
75.38569641113281,8
74.65371704101562,42
73.74896240234375,23
73.19884490966797,16
72.58552551269531,79
72.32561492919922,88
71.2959976196289,73
70.58074951171875,98
69.89192199707031,45
69.58656311035156,92
69.330322265625,26
69.04954528808594,44
68.822021484375,82
68.68170166015625,25
68.36243438720703,28
67.900634765625,61
67.04695129394531,22
66.78790283203125,75
66.75597381591797,34
66.6733169555664,99
66.00450897216797,63
64.64427947998047,43
64.43468475341797,15
64.2362060546875,87
63.3309440612793,94
62.66066360473633,59
62.52390670776367,84
62.43577194213867,6
62.420310974121094,70
62.058441162109375,39
60.01985549926758,90
59.97186279296875,91
59.721923828125,20
59.21651077270508,12
59.084449768066406,11
58.51139831542969,21
58.08919906616211,5
57.14360046386719,54
56.17448425292969,52
56.132286071777344,86
55.89240264892578,74
55.883663177490234,27
54.60989761352539,47
53.922401428222656,96
51.966392517089844,68
51.93878936767578,24
51.80265808105469,97
51.674522399902344,37
49.004241943359375,35
48.52691650390625,57
46.66533279418945,60
46.268653869628906,80
45.39961242675781,36
45.238243103027344,46
11.086906433105469,33
9.02532958984375,40
7.567398548126221,1
6.4090962409973145,14
6.368637561798096,76
6.084475994110107,3
5.989872932434082,31
5.952437877655029,41
5.8471760749816895,17
5.582090377807617,77
5.502253532409668,69
5.262718200683594,50
5.242313385009766,51
5.151899814605713,62
5.106595039367676,71
